id,category,sub_category,retriever,question,expected_answer,model_answer,retrieved_chunks,retrieval_hits,retrieval_expected,retrieval_coverage,precision_at_k,hallucination_check,correctness_score,notes
C01,correctness,,random,What resources do you need to build a settlement?,"Brick, Lumber, Wool, and Grain",The rules don't specify this.,"Almanac: SET-UP, VARIABLE | Almanac: PATHS | Almanac: SETTLEMENTS",1,2,0.5,1.0,N/A,,
C02,correctness,,random,How many victory points do you need to win the game?,10 victory points,The rules don't specify this.,"Game Rules: ROLLING A ""7"" AND ACTIVATING THE ROBBER | Almanac: DISTANCE RULE | Almanac: KNIGHT CARDS",0,2,0.0,0.0,N/A,,
C03,correctness,,random,What happens when you roll a 7?,No one receives resources. Every player with more than 7 resource cards must discard half (rounded down). Then the player who rolled must move the robber to any other terrain hex and steal one resource card at random from a player with a settlement or city adjacent to that hex.,The rules don't specify this.,Almanac: RESOURCE CARDS (RESOURCES) | Almanac: ROADS | Almanac: INTERSECTIONS,0,2,0.0,0.0,N/A,,
C04,correctness,,random,Can you build a city without first having a settlement there?,No. You can only upgrade an existing settlement to a city; you cannot place a city directly.,The rules don't specify this.,Game Rules: TURN OVERVIEW | Almanac: DEVELOPMENT CARDS | Almanac: GAME PLAY,0,2,0.0,0.0,N/A,,
C05,correctness,,random,How many knight cards do you need to claim the Largest Army card?,3 knight cards played face-up,The rules don't specify this.,"Game Rules: TRADE (Domestic and Maritime) | Game Rules: BUILD (Roads, Settlements, Cities, Development Cards) | Almanac: VICTORY POINTS",0,2,0.0,0.0,N/A,,
C06,correctness,,random,Can you play a development card that you bought this turn?,No. You may not play a development card purchased during the same turn. The only exception is a victory point card if it brings your total to 10 and wins you the game.,The rules don't specify this.,Almanac: RESOURCE TRADE | Game Rules: TRADE (Domestic and Maritime) | Almanac: ROADS,0,2,0.0,0.0,N/A,,
C07,correctness,,random,What resources do you need to build a road?,Brick and Lumber,The rules don't specify this.,Almanac: INTERSECTIONS | Almanac: GAME PLAY | Almanac: COAST,0,2,0.0,0.0,N/A,,
C08,correctness,,random,What resources do you need to upgrade a settlement to a city?,3 Ore and 2 Grain,The rules don't specify this.,Almanac: ENDING THE GAME | Game Rules: RESOURCE PRODUCTION | Almanac: DESERT,0,2,0.0,0.0,N/A,,
C09,correctness,,random,What resources do you need to buy a development card?,"Ore, Wool, and Grain",The rules don't specify this.,"Almanac: ROLLING A ""7"" AND ACTIVATING THE ROBBER | Almanac: DISTANCE RULE | Almanac: SET-UP, VARIABLE",0,2,0.0,0.0,N/A,,
C10,correctness,,random,How many victory points is a settlement worth?,1 victory point,The rules don't specify this.,Almanac: LARGEST ARMY | Almanac: COMBINED TRADE/BUILD PHASE | Almanac: ROBBER,0,2,0.0,0.0,N/A,,
C11,correctness,,random,How many victory points is a city worth?,2 victory points,The rules don't specify this.,Game Rules: GAME COMPONENTS | Almanac: ROBBER | Almanac: SET-UP PHASE,0,2,0.0,0.0,N/A,,
C12,correctness,,random,How many victory points does the Longest Road special card give?,2 victory points,The rules don't specify this.,"Game Rules: ENDING THE GAME | Almanac: GAME PLAY | Game Rules: ROLLING A ""7"" AND ACTIVATING THE ROBBER",0,2,0.0,0.0,N/A,,
C13,correctness,,random,How many victory points does the Largest Army special card give?,2 victory points,The rules don't specify this.,"Almanac: ROBBER | Almanac: INTERSECTIONS | Game Rules: ROLLING A ""7"" AND ACTIVATING THE ROBBER",0,2,0.0,0.0,N/A,,
C14,correctness,,random,What is the minimum continuous road length needed to claim the Longest Road card?,5 road segments,The rules don't specify this.,Almanac: RESOURCE CARDS (RESOURCES) | Almanac: MARITIME TRADE | Almanac: VICTORY POINTS,0,2,0.0,0.0,N/A,,
C15,correctness,,random,What happens if the bank doesn't have enough of a resource to pay all players who are owed it?,"No player receives any of that resource that turn (unless the shortage only affects one player, in which case that player gets as many as are left and any extras are lost).","According to [Game Rules: RESOURCE PRODUCTION], if there are not enough of a given resource in the supply to fulfill everyone's production, then no one receives any of that resource during that turn (unless it only affects 1 player).","Game Rules: BUILD (Roads, Settlements, Cities, Development Cards) | Game Rules: RESOURCE PRODUCTION | Almanac: ENDING THE GAME",1,1,1.0,1.0,N/A,,
C16,correctness,,random,Can players trade with each other when it is not their turn?,No. Players may only trade with the player whose turn it is. Other players may not trade among themselves.,"According to [Almanac: TRADE], players may trade with another player between turns, but only if it is that player's turn and they elect to trade with you. Therefore, players cannot trade with each other when it is not their turn unless it is during the other player's turn and they choose to trade.",Almanac: TRADE | Almanac: RESOURCE CARDS (RESOURCES) | Almanac: COAST,1,2,0.5,1.0,N/A,,
C17,correctness,,random,What is the standard maritime trade ratio if you have no harbor?,4:1 — you may trade 4 identical resource cards to the bank for 1 resource card of your choice.,"According to [Almanac: MARITIME TRADE], the most basic (and unfavorable) exchange rate for maritime trade without a harbor is 4:1. You may trade 4 identical resource cards to the supply in exchange for 1 resource card of your choice.",Almanac: MARITIME TRADE | Game Rules: TURN OVERVIEW | Almanac: INTERSECTIONS,1,1,1.0,1.0,N/A,,
C18,correctness,,random,Where does the robber start at the beginning of the game?,In the desert,The rules don't specify this.,Game Rules: GAME COMPONENTS | Almanac: SETTLEMENTS | Almanac: NUMBER TOKENS,0,2,0.0,0.0,N/A,,
C19,correctness,,random,"If you have 9 resource cards and a 7 is rolled, how many cards must you discard?",4 cards (half of 9 rounded down),"According to [Game Rules: RESOURCE PRODUCTION], if a 7 is rolled, each player with more than 7 resource cards must discard half of their cards (rounded down). Since you have 9 resource cards, you must discard 4 cards.","Almanac: PATHS | Game Rules: RESOURCE PRODUCTION | Game Rules: PLAYING DEVELOPMENT CARDS (Knight, Progress, Victory Point)",0,1,0.0,0.0,N/A,,
C20,correctness,,random,Can you trade development cards with other players?,No. You cannot trade or give away development cards.,The rules don't specify this.,Almanac: BUILD (BUILDING) | Almanac: HARBORS | Almanac: KNIGHT CARDS,0,2,0.0,0.0,N/A,,
S01,stress,A,random,I roll a 7 and I have 9 resource cards. I also want to play a knight card this turn. What should I do first?,"You must handle the 7 roll first: discard 4 cards (half of 9, rounded down), then move the robber and steal. You may play the knight card at any time during your turn (including before rolling), but since you've already rolled a 7, the roll's mandatory effects must complete before you continue. After resolving the 7, you may play the knight card during your turn's trade or build phases — but note you can only play one development card per turn total, and the knight card would also move the robber again.","According to [Almanac: ROLLING A ""7"" AND ACTIVATING THE ROBBER], when you roll a ""7,"" you must first count your resource cards. Since you have 9 resource cards, you must discard half of them, which means you will discard 4 cards. After discarding, you then move the robber and steal a resource card from another player. 

You cannot play a knight card before resolving the effects of rolling a ""7."" Therefore, you should first discard the cards and move the robber before playing the knight card.","Almanac: NUMBER TOKENS | Almanac: ROLLING A ""7"" AND ACTIVATING THE ROBBER | Game Rules: ISLAND CONSTRUCTION AND SETUP",1,3,0.333,1.0,N/A,,
S02,stress,A,random,I just built a settlement on a harbor this turn. Can I immediately use that harbor's favorable trade rate?,"In standard play (separate trade and build phases), no — you build during the build phase after trading is done, so you cannot trade again. However, using the Combined Trade/Build Phase variant (recommended for experienced players), you can trade and build in any order during your turn, so yes — the rules explicitly state you can use a harbor on the same turn you build a settlement there.",The rules don't specify this.,"Almanac: INTERSECTIONS | Almanac: SET-UP, VARIABLE | Almanac: ROBBER",0,3,0.0,0.0,N/A,,
S03,stress,A,random,"My road is 6 segments long and holds the Longest Road card. An opponent builds a settlement in the middle of it, breaking it into two branches of 4 and 2. Do I lose the Longest Road card?","Your road is broken. You now count only your longest continuous branch, which is 4 segments. Since 4 is less than 5, you no longer have a qualifying road at all. If another player already has a longer continuous road, they take the card. If two or more players now tie for the longest road, the card is set aside until one player has a clearly longer road of at least 5 segments.","According to the rules, if an opponent builds a settlement that breaks your road into two separate branches, you lose the Longest Road card. The Longest Road card is awarded to the player with the longest continuous path of roads, and since your road is no longer continuous, you would no longer qualify for it. The rules don't specify this.",Almanac: RESOURCE PRODUCTION | Almanac: LARGEST ARMY | Almanac: VICTORY POINT CARDS,0,1,0.0,0.0,N/A,,
S04,stress,B,random,What happens if the bank runs out of a resource that multiple players are owed from a dice roll?,"No player receives any of that resource during that turn. The exception applies only when the shortage affects a single player — in that case they get as many as are left and any extras are lost. When multiple players are affected, no one gets any.",The rules don't specify this.,Almanac: DISTANCE RULE | Almanac: BUILDING COSTS CARDS | Almanac: TACTICS,0,1,0.0,0.0,N/A,,
S05,stress,B,random,Can I trade 2 wool to another player in exchange for 1 wool?,No. The rules explicitly prohibit trading like resources. You cannot trade the same type of resource.,The rules don't specify this.,Almanac: DISTANCE RULE | Almanac: DESERT | Almanac: PATHS,0,2,0.0,0.0,N/A,,
S06,stress,B,random,"I hold the Longest Road card with a 7-segment road. An opponent breaks my road so that my longest branch is now 5 segments, but another player also has a 5-segment road. Who holds the Longest Road card?","When two or more players tie for the longest road, the Longest Road card is set aside. The card only comes back into play when one player has a clearly longer road than all others (and at least 5 segments).",The rules don't specify this.,"Almanac: VICTORY POINT CARDS | Game Rules: RESOURCE PRODUCTION | Game Rules: ROLLING A ""7"" AND ACTIVATING THE ROBBER",0,1,0.0,0.0,N/A,,
S07,stress,B,random,"I move the robber to a hex adjacent to an opponent's settlement, but that opponent has no resource cards. What happens?","You still move the robber to that hex (blocking future production), but when you attempt to steal, you get nothing. The rules state: 'If that player has no cards, you get nothing!'",The rules don't specify this.,"Almanac: SET-UP, VARIABLE | Almanac: INTERSECTIONS | Almanac: LONGEST ROAD",0,2,0.0,0.0,N/A,,
S08,stress,B,random,Can I play a knight card before I roll the dice on my turn?,"Yes. You may play one development card at any time during your turn, including before rolling the dice.",The rules don't specify this.,Almanac: NUMBER TOKENS | Almanac: DOMESTIC TRADE | Game Rules: ISLAND CONSTRUCTION AND SETUP,0,2,0.0,0.0,N/A,,
S09,stress,C,random,Can a player make a binding promise to give resources on a future turn as part of a trade?,"The rules don't specify whether future-turn promises are binding or even permitted. The rules only state what can be traded (resource cards, not development cards or promises), that trading must involve the current player, and that you cannot give away cards. There is no ruling on the enforceability of future-turn agreements.",The rules don't specify this.,Almanac: ROADS | Almanac: RESOURCE TRADE | Almanac: LARGEST ARMY,1,2,0.5,1.0,ABSTAINED,,
S10,stress,C,random,What happens if all development cards are bought and the deck runs out mid-game?,"The rules state: 'Development cards never go back into the supply, and you cannot buy development cards if the supply is empty.' Beyond this, the rules don't elaborate — you simply cannot buy more development cards for the rest of the game.",The rules don't specify this.,Almanac: KNIGHT CARDS | Almanac: BUILDING COSTS CARDS | Almanac: RESOURCE CARDS (RESOURCES),1,2,0.5,1.0,ABSTAINED,,
S11,stress,C,random,Can I look at which development cards other players have already played?,"Partially addressed: Knight cards remain face up in front of players and are visible to all. Progress cards are removed from the game after use. Victory point cards stay hidden until the game ends. The rules don't explicitly state whether players can inspect a discard pile or track played progress cards, but played knight cards are always visible.",The rules don't specify this.,Almanac: GAME PLAY | Almanac: RESOURCE PRODUCTION | Almanac: SETTLEMENTS,0,3,0.0,0.0,ABSTAINED,,
S12,stress,C,random,Is there a maximum number of resource cards a player can hold in their hand at any time?,"The rules don't specify an absolute hand size limit. The only card-count rule is the 7-card threshold: if you hold more than 7 resource cards when a 7 is rolled, you must discard half. There is no stated cap on how many cards you can hold otherwise.",The rules don't specify this.,"Almanac: BUILD (BUILDING) | Almanac: VICTORY POINTS | Game Rules: ROLLING A ""7"" AND ACTIVATING THE ROBBER",1,2,0.5,1.0,ABSTAINED,,
