id,category,sub_category,retriever,question,expected_answer,model_answer,retrieved_chunks,retrieval_hits,retrieval_expected,retrieval_coverage,precision_at_k,hallucination_check,correctness_score,notes
M01,correctness,,tfidf,How much money does each player start with in Monopoly?,"$1,500 divided as follows: 2 each of $500s, $100s and $50s; 6 $20s; 5 each of $10s, $5s and $1s.",The rules don't specify this.,Monopoly: MISCELLANEOUS | Monopoly: FREE PARKING | Monopoly: SPEED DIE RULES,0,1,0.0,0.0,N/A,0,
M02,correctness,,tfidf,How much do you collect when you pass GO?,$200 salary paid by the Banker each time a player's token lands on or passes over GO.,"According to the provided context, when you pass GO, you collect $200. This is mentioned in the section about the Speed Die Rules, which states, ""Once you collect that first $200 salary...""",Monopoly: JAIL | Monopoly: PAYING RENT | Monopoly: SPEED DIE RULES,0,1,0.0,0.0,N/A,1,
M03,correctness,,tfidf,What happens if you land on an unowned property and choose not to buy it?,"The Banker sells it at auction to the highest bidder. Any player, including the one who declined, may bid. Bidding may start at any price.","If you land on an unowned property and choose not to buy it, the Banker sells it at auction to the highest bidder. Any player, including the one who declined the option to buy it at the printed price, may bid, and bidding may start at any price. The buyer pays the Bank the amount of the bid in cash and receives the Title Deed card for that property. According to [Monopoly: BUYING PROPERTY]...",Monopoly: BUYING PROPERTY | Monopoly: HOUSES | Monopoly: HOTELS,1,1,1.0,1.0,N/A,1,
M04,correctness,,tfidf,How do you get out of jail in Monopoly?,"Four ways: (1) throw doubles on any of your next three turns, (2) use a Get Out of Jail Free card, (3) purchase a Get Out of Jail Free card from another player and play it, (4) pay a $50 fine before rolling on either of your next two turns.","You get out of Jail by...(1) throwing doubles on any of your next three turns; if you succeed in doing this you immediately move forward the number of spaces shown by your doubles throw; even though you had thrown doubles, you do not take another turn; (2) using the ""Get Out of Jail Free"" card if you have it; (3) purchasing the ""Get Out of Jail Free"" card from another player and playing it; (4) paying a fine of $50 before you roll the dice on either of your next two turns. If you do not throw doubles by your third turn, you must pay the $50 fine. You then get out of Jail and immediately move forward the number of spaces shown by your throw. According to [Monopoly: JAIL]...",Monopoly: JAIL | Monopoly: SPEED DIE RULES | Monopoly: THE PLAY,1,1,1.0,1.0,N/A,1,
M05,correctness,,tfidf,What do you receive when you land on Free Parking?,"Nothing. A player landing on Free Parking does not receive any money, property, or reward of any kind. It is just a free resting place.","According to [Monopoly: FREE PARKING], when you land on Free Parking, you do not receive any money, property, or reward of any kind. It is just a ""free"" resting place.",Monopoly: FREE PARKING | Monopoly: CHANCE AND COMMUNITY CHEST | Monopoly: BUYING PROPERTY,1,1,1.0,1.0,N/A,1,
M06,correctness,,tfidf,How many houses must be on each property in a color-group before you can build a hotel?,Four houses on each property of the complete color-group.,"According to [Monopoly: HOTELS], a player must have four houses on each property of a complete color-group before they may buy a hotel and erect it on any property of that color-group.",Monopoly: HOTELS | Monopoly: HOUSES | Monopoly: SELLING PROPERTY,1,1,1.0,1.0,N/A,1,
M07,correctness,,tfidf,Can you collect rent while you are in jail?,"Yes. Even though you are in jail, you may buy and sell property, buy and sell houses and hotels, and collect rents.","Yes, you can collect rent while you are in Jail. According to the rules, ""even though you are in Jail, you may buy and sell property, buy and sell houses and hotels and collect rents.""",Monopoly: JAIL | Monopoly: PAYING RENT | Monopoly: THE PLAY,1,1,1.0,1.0,N/A,1,
M08,correctness,,tfidf,What are the two options for paying Income Tax?,"Pay a flat $200 to the Bank, or pay 10% of your total worth (all cash on hand, printed prices of mortgaged and unmortgaged properties, and cost price of all buildings). You must decide which option before adding up your total worth.","According to [Monopoly: INCOME TAX], the two options for paying Income Tax are: you may estimate your tax at $200 and pay the Bank, or you may pay 10% of your total worth to the Bank.",Monopoly: INCOME TAX | Monopoly: PAYING RENT | Monopoly: MORTGAGES,1,1,1.0,1.0,N/A,1,
M09,correctness,,tfidf,How many consecutive doubles do you need to roll to be sent to jail?,Three times in succession.,"You need to roll three consecutive doubles to be sent to jail. According to [Monopoly: JAIL]... ""you throw doubles three times in succession.""",Monopoly: JAIL | Monopoly: SPEED DIE RULES | Monopoly: THE PLAY,2,2,1.0,1.0,N/A,1,
M10,correctness,,tfidf,Can you mortgage a property that has houses on it?,"No. Before an improved property can be mortgaged, all buildings on all properties of its color-group must be sold back to the Bank at half price.","According to [Monopoly: MORTGAGES], before an improved property can be mortgaged, all the buildings on all the properties of its color-group must be sold back to the Bank at half price. Therefore, you cannot mortgage a property that has houses on it until those houses are sold.",Monopoly: MORTGAGES | Monopoly: BANKRUPTCY | Monopoly: HOUSES,1,1,1.0,1.0,N/A,1,
M11,correctness,,tfidf,How much do you get when you sell a house back to the Bank?,Half the price paid for it.,"According to [Monopoly: SELLING PROPERTY], you may sell houses back to the Bank at any time for one-half the price paid for them.",Monopoly: HOUSES | Monopoly: BUILDING SHORTAGES | Monopoly: SELLING PROPERTY,1,1,1.0,1.0,N/A,1,
M12,correctness,,tfidf,Can players lend money to each other in Monopoly?,"No. Money can be loaned to a player only by the Bank, and then only by mortgaging property. No player may borrow from or lend money to another player.",The rules don't specify this.,Monopoly: MISCELLANEOUS | Monopoly: OVERVIEW | Monopoly: THE BANK,1,1,1.0,1.0,N/A,0,
M13,correctness,,tfidf,What interest rate must you pay to lift a mortgage?,"10% of the mortgage value, in addition to the mortgage amount itself.","To lift a mortgage, you must pay the Bank the amount of the mortgage plus 10% interest. According to [Monopoly: MORTGAGES]...",Monopoly: MORTGAGES | Monopoly: BANKRUPTCY | Monopoly: INCOME TAX,1,1,1.0,1.0,N/A,1,
M14,correctness,,tfidf,What must you do before selling a property in a color-group that has buildings on it?,All buildings on all properties of that color-group must be sold back to the Bank before any property in the group can be sold.,"Before selling a property in a color-group that has buildings on it, you must sell any buildings located on properties of that color-group back to the Bank. According to [Monopoly: SELLING PROPERTY]... ""no property can be sold to another player if buildings are standing on any properties of that color-group. Any buildings so located must be sold back to the Bank before the owner can sell any property of that color-group.""",Monopoly: SELLING PROPERTY | Monopoly: HOUSES | Monopoly: HOTELS,1,1,1.0,1.0,N/A,1,
M15,correctness,,tfidf,When can you charge double rent for unimproved properties?,"When you own all the Title Deed cards in a color-group (a complete color-group), you may charge double rent for unimproved properties in that group.",You can charge double rent for unimproved properties when you hold all the Title Deed cards in a color-group. This rule applies to unmortgaged properties even if another property in that color-group is mortgaged. According to [Monopoly: PAYING RENT]...,Monopoly: PAYING RENT | Monopoly: HOUSES | Monopoly: MORTGAGES,1,1,1.0,1.0,N/A,1,
M16,correctness,,tfidf,What happens to a bankrupt player?,"A bankrupt player must immediately retire from the game. If in debt to another player, they must turn over all assets to that player. The last player left in the game wins.","According to [Monopoly: BANKRUPTCY], a bankrupt player must turn over all that they have of value to their creditor or the Bank, depending on who they owe. If they owe another player, they retire from the game after settling their debts. If they owe the Bank, they must turn over all assets to the Bank, which will auction off the property (excluding buildings), and the bankrupt player must immediately retire from the game. The last player left in the game wins.",Monopoly: BANKRUPTCY | Monopoly: MISCELLANEOUS | Monopoly: CHANCE AND COMMUNITY CHEST,1,1,1.0,1.0,N/A,1,
M17,correctness,,tfidf,What is the even-building rule for houses?,"You cannot erect more than one house on any one property until you have built one house on every property of that color-group. You then begin on the second row, and so on, up to a limit of four houses per property.","According to [Monopoly: HOUSES], the even-building rule states that you must build evenly, meaning you cannot erect more than one house on any one property of a color-group until you have built one house on every property of that group. You may then begin on the second row of houses, and so on, up to a limit of four houses per property. For example, you cannot build three houses on one property if you have only one house on another property of that group.",Monopoly: BUILDING SHORTAGES | Monopoly: HOUSES | Monopoly: PAYING RENT,1,1,1.0,1.0,N/A,1,
M18,correctness,,tfidf,What happens when the Bank runs out of houses?,"Players wishing to build must wait until another player returns or sells houses to the Bank. If multiple players want more than the Bank has, the houses must be sold at auction to the highest bidder.","When the Bank has no houses to sell, players wishing to build must wait for some player to return or sell his/her houses to the Bank before building. If there are a limited number of houses and hotels available and two or more players wish to buy more than the Bank has, the houses or hotels must be sold at auction to the highest bidder. According to [Monopoly: BUILDING SHORTAGES]...",Monopoly: THE BANK | Monopoly: BUILDING SHORTAGES | Monopoly: HOUSES,1,1,1.0,1.0,N/A,1,
M19,correctness,,tfidf,Can the Bank ever go bankrupt?,"No. The Bank never goes broke. If it runs out of money, the Banker may issue as much more as needed by writing on any ordinary paper.",The rules don't specify this.,Monopoly: BANKRUPTCY | Monopoly: THE BANK | Monopoly: MORTGAGES,1,1,1.0,1.0,N/A,0,
M20,correctness,,tfidf,"If you pass GO on a dice throw and then draw an Advance to GO card, do you collect $200 twice?",Yes. The rules explicitly state you collect $200 for passing GO the first time and another $200 for reaching it the second time by instructions on the card.,"Yes, if you pass GO on a dice throw and then draw an ""Advance to GO"" card, you collect $200 for passing GO the first time and another $200 for reaching it the second time by instructions on the card. This is stated in the context: ""if a player passing GO on the throw of the dice lands 2 spaces beyond it on Community Chest, or 7 spaces beyond it on Chance, and draws the 'Advance to GO' card, he/she collects $200 for passing GO the first time and another $200 for reaching it the second time by instructions on the card."" [Monopoly: GO]",Monopoly: GO | Monopoly: THE PLAY | Monopoly: JAIL,1,1,1.0,1.0,N/A,1,
MS01,stress,A,tfidf,"I am in jail on my turn. Can I pay the $50 fine, roll, and then buy a property I land on?","Yes. You pay the $50 fine before rolling, then roll and move normally. If you land on an unowned property, you may buy it at the printed price or it goes to auction. Being in jail does not restrict property purchases.","According to the rules, if you are in Jail and you choose to pay the $50 fine, you can then roll the dice on either of your next two turns. However, you must pay the fine before you roll. After rolling, you will move forward the number of spaces shown by your throw. The rules do not specify whether you can buy a property you land on after rolling while in Jail. Therefore, the rules don't specify this.",Monopoly: JAIL | Monopoly: BUYING PROPERTY | Monopoly: BANKRUPTCY,2,2,1.0,1.0,N/A,1,
MS02,stress,A,tfidf,Another player lands on my property but I forget to ask for rent before the second player after them throws the dice. Do I still get paid?,No. The owner may not collect the rent if they fail to ask for it before the second player following throws the dice.,"No, you do not get paid. According to the rules, ""The owner may not collect the rent if he/she fails to ask for it before the second player following throws the dice.""",Monopoly: PAYING RENT | Monopoly: GO | Monopoly: THE PLAY,1,1,1.0,1.0,N/A,1,
MS03,stress,A,tfidf,"I roll doubles, move and resolve the space, then roll doubles again and resolve, then roll doubles a third time. Where do I go and do I move?",On the third doubles roll you move your token immediately to the space marked In Jail. You do not move the number shown on the dice — you go directly to Jail and your turn ends.,"According to the rules, if you throw doubles three times in succession, you must move your token immediately to the space marked ""In Jail."" Your turn ends when you are sent to Jail, and you do not get to move again after being sent there. Therefore, you go to Jail and do not move further. This is stated in the [Monopoly: JAIL] section.",Monopoly: JAIL | Monopoly: SPEED DIE RULES | Monopoly: THE PLAY,2,2,1.0,1.0,N/A,1,
MS04,stress,B,tfidf,Another player has a Get Out of Jail Free card and wants to sell it to me. Is there a fixed price?,No fixed price. The rules state it may be sold to another player at any price agreeable to both players.,The rules don't specify this.,Monopoly: JAIL | Monopoly: CHANCE AND COMMUNITY CHEST | Monopoly: FREE PARKING,2,2,1.0,1.0,N/A,0,
MS05,stress,B,tfidf,I buy a mortgaged property from another player. Do I have to lift the mortgage immediately?,"No. You may lift it immediately by paying the mortgage value plus 10% interest, or hold it. However, if you hold it and lift the mortgage later, you must pay 10% interest again in addition to the mortgage amount.","According to [Monopoly: MORTGAGES], if you buy a mortgaged property from another player, you may lift the mortgage at once if you wish by paying off the mortgage plus 10% interest to the Bank. However, if you do not lift the mortgage immediately, you must pay the Bank 10% interest when you buy the property, and if you lift the mortgage later, you must pay the Bank an additional 10% interest as well as the amount of the mortgage.",Monopoly: MORTGAGES | Monopoly: BANKRUPTCY | Monopoly: BUYING PROPERTY,1,1,1.0,1.0,N/A,1,
MS06,stress,B,tfidf,Can I buy a hotel directly without first building four houses on the property?,No. You must have four houses on each property of a complete color-group before you can buy a hotel. You return the four houses to the Bank and pay the hotel price shown on the Title Deed card.,"The rules specify that a player must have four houses on each property of a complete color-group before they can buy a hotel. Therefore, you cannot buy a hotel directly without first building four houses on the property. According to [Monopoly: HOTELS]...",Monopoly: HOTELS | Monopoly: BUILDING SHORTAGES | Monopoly: HOUSES,2,2,1.0,1.0,N/A,1,
MS07,stress,B,tfidf,I own a complete color-group but one of the properties in it is mortgaged. Can I still charge double rent on the unmortgaged properties?,Yes. The rules state that the double-rent rule applies to unmortgaged properties even if another property in that color-group is mortgaged. No rent can be collected on the mortgaged property itself.,"Yes, you can still charge double rent on the unmortgaged properties in your complete color-group, even if one of the properties is mortgaged. According to [Monopoly: PAYING RENT], ""This rule applies to unmortgaged properties even if another property in that color-group is mortgaged.""",Monopoly: PAYING RENT | Monopoly: HOUSES | Monopoly: MORTGAGES,2,2,1.0,1.0,N/A,1,
MS08,stress,C,tfidf,What is the exact rent amount for landing on a railroad?,"The rules don't specify exact rent amounts for railroads in this text — those amounts are printed on the individual Title Deed cards, which are not reproduced in the rulebook.",The rules don't specify this.,Monopoly: PAYING RENT | Monopoly: FREE PARKING | Monopoly: MORTGAGES,1,1,1.0,1.0,ABSTAINED,1,
MS09,stress,C,tfidf,What happens if two players tie on the initial dice roll to determine who goes first?,The rules don't specify what happens in the event of a tie — they only state that the player with the highest total starts the play.,The rules don't specify this.,Monopoly: SPEED DIE RULES | Monopoly: THE BANK | Monopoly: BUILDING SHORTAGES,0,1,0.0,0.0,ABSTAINED,1,
MS10,stress,C,tfidf,Is there a time limit on how long a player's turn can last?,The rules don't specify any time limit per turn.,The rules don't specify this.,Monopoly: BANKRUPTCY | Monopoly: THE PLAY | Monopoly: GO,1,1,1.0,1.0,ABSTAINED,1,
MS11,stress,C,tfidf,"Can I give money to another player as a gift, not as part of any property transaction?","The rules don't explicitly address gifting money. They state no player may borrow from or lend money to another player, but it is unclear whether an outright gift (not a loan) is also prohibited.",The rules don't specify this.,Monopoly: MISCELLANEOUS | Monopoly: BANKRUPTCY | Monopoly: SELLING PROPERTY,1,1,1.0,1.0,ABSTAINED,1,
MS12,stress,C,tfidf,What happens if a player refuses to pay rent they owe?,The rules don't specify any enforcement mechanism for rent disputes. They only state that the owner forfeits the right to collect rent if they fail to ask before the second player following throws the dice.,The rules don't specify this.,Monopoly: BANKRUPTCY | Monopoly: PAYING RENT | Monopoly: THE PLAY,1,1,1.0,1.0,ABSTAINED,1,
