id,category,sub_category,question,expected_answer,model_answer,retrieved_chunks,retrieval_hits,retrieval_expected,retrieval_coverage,precision_at_k,hallucination_check,correctness_score,notes
C01,correctness,,What resources do you need to build a settlement?,"Brick, Lumber, Wool, and Grain","To build a settlement, you need Brick, Lumber, Wool, and Grain. According to [Game Rules: BUILD (Roads, Settlements, Cities, Development Cards)]...","Almanac: SETTLEMENTS | Almanac: TACTICS | Game Rules: BUILD (Roads, Settlements, Cities, Development Cards)",2,2,1.0,1.0,N/A,1,
C02,correctness,,How many victory points do you need to win the game?,10 victory points,"You need 10 victory points to win the game. According to [Almanac: VICTORY POINTS], ""The first player to reach (be at) 10 victory points (VPs) on their turn wins the game.""",Almanac: ENDING THE GAME | Almanac: VICTORY POINTS | Game Rules: ENDING THE GAME,2,2,1.0,1.0,N/A,1,
C03,correctness,,What happens when you roll a 7?,No one receives resources. Every player with more than 7 resource cards must discard half (rounded down). Then the player who rolled must move the robber to any other terrain hex and steal one resource card at random from a player with a settlement or city adjacent to that hex.,"When you roll a ""7,"" none of the players receive resources. Each player with more than 7 resource cards must discard half of them. Then, you must move the robber to another terrain hex, blocking its resource production. After moving the robber, you steal 1 resource card at random from a player with a settlement or city adjacent to the new hex. Your turn continues with the trade phase. This is according to [Almanac: ROLLING A ""7"" AND ACTIVATING THE ROBBER].","Almanac: ROLLING A ""7"" AND ACTIVATING THE ROBBER | Almanac: NUMBER TOKENS | Game Rules: ENDING THE GAME",2,2,1.0,1.0,N/A,1,
C04,correctness,,Can you build a city without first having a settlement there?,No. You can only upgrade an existing settlement to a city; you cannot place a city directly.,"No, you cannot build a city without first having a settlement there. According to [Almanac: CITIES], you can only upgrade an existing settlement to a city.",Almanac: CITIES | Almanac: SETTLEMENTS | Almanac: DISTANCE RULE,1,2,0.5,1.0,N/A,1,
C05,correctness,,How many knight cards do you need to claim the Largest Army card?,3 knight cards played face-up,You need to be the first player to play 3 knight cards to claim the Largest Army card. According to [Almanac: LARGEST ARMY]...,"Almanac: LARGEST ARMY | Almanac: KNIGHT CARDS | Game Rules: PLAYING DEVELOPMENT CARDS (Knight, Progress, Victory Point)",2,2,1.0,1.0,N/A,1,
C06,correctness,,Can you play a development card that you bought this turn?,No. You may not play a development card purchased during the same turn. The only exception is a victory point card if it brings your total to 10 and wins you the game.,"No, you cannot play a development card that you bought during the same turn. According to [Almanac: DEVELOPMENT CARDS], ""You may not, however, play a card that you bought during the same turn.""",Almanac: DEVELOPMENT CARDS | Almanac: GAME PLAY | Almanac: PROGRESS CARDS,1,2,0.5,1.0,N/A,0.5,Missing VP card exception
C07,correctness,,What resources do you need to build a road?,Brick and Lumber,"To build a road, you need Brick and Lumber. According to [Game Rules: BUILD (Roads, Settlements, Cities, Development Cards)]...","Game Rules: BUILD (Roads, Settlements, Cities, Development Cards) | Almanac: ROADS | Almanac: BUILD (BUILDING)",2,2,1.0,1.0,N/A,1,
C08,correctness,,What resources do you need to upgrade a settlement to a city?,3 Ore and 2 Grain,The rules don't specify this.,Almanac: CITIES | Almanac: SETTLEMENTS | Almanac: TACTICS,1,2,0.5,1.0,N/A,0,"Generation failure — answer in context (3 Ore, 2 Grain)"
C09,correctness,,What resources do you need to buy a development card?,"Ore, Wool, and Grain",The rules don't specify this.,Almanac: BUILDING COSTS CARDS | Almanac: DEVELOPMENT CARDS | Almanac: PROGRESS CARDS,2,2,1.0,1.0,N/A,0,Generation failure — BUILDING COSTS chunk retrieved but model abstained
C10,correctness,,How many victory points is a settlement worth?,1 victory point,A settlement is worth 1 victory point. According to [Almanac: SETTLEMENTS]...,Almanac: SETTLEMENTS | Almanac: VICTORY POINTS | Almanac: CITIES,2,2,1.0,1.0,N/A,1,
