id,category,sub_category,retriever,question,expected_answer,model_answer,retrieved_chunks,retrieval_hits,retrieval_expected,retrieval_coverage,precision_at_k,hallucination_check,correctness_score,notes
C01,correctness,,tfidf,What resources do you need to build a settlement?,"Brick, Lumber, Wool, and Grain",The rules don't specify this.,Almanac: DISTANCE RULE | Almanac: SETTLEMENTS | Almanac: TACTICS,1,2,0.5,1.0,N/A,,
C02,correctness,,tfidf,How many victory points do you need to win the game?,10 victory points,"You need 10 victory points to win the game. Since each player begins with 2 settlements, each player starts with 2 victory points, so you only need 8 more victory points to win. This is stated in the section [Almanac: VICTORY POINTS].","Almanac: VICTORY POINTS | Almanac: ENDING THE GAME | Game Rules: PLAYING DEVELOPMENT CARDS (Knight, Progress, Victory Point)",2,2,1.0,1.0,N/A,,
C03,correctness,,tfidf,What happens when you roll a 7?,No one receives resources. Every player with more than 7 resource cards must discard half (rounded down). Then the player who rolled must move the robber to any other terrain hex and steal one resource card at random from a player with a settlement or city adjacent to that hex.,The rules don't specify this.,Almanac: GAME PLAY | Almanac: RESOURCE PRODUCTION | Game Rules: TURN OVERVIEW,0,2,0.0,0.0,N/A,,
C04,correctness,,tfidf,Can you build a city without first having a settlement there?,No. You can only upgrade an existing settlement to a city; you cannot place a city directly.,"No, you cannot build a city without first having a settlement there. According to [Almanac: CITIES], you can only upgrade an existing settlement to a city.",Almanac: CITIES | Almanac: BUILD (BUILDING) | Almanac: DISTANCE RULE,2,2,1.0,1.0,N/A,,
C05,correctness,,tfidf,How many knight cards do you need to claim the Largest Army card?,3 knight cards played face-up,You need to have 3 knight cards face up in front of you to claim the Largest Army card. According to [Almanac: LARGEST ARMY]...,"Almanac: LARGEST ARMY | Game Rules: PLAYING DEVELOPMENT CARDS (Knight, Progress, Victory Point) | Almanac: KNIGHT CARDS",2,2,1.0,1.0,N/A,,
C06,correctness,,tfidf,Can you play a development card that you bought this turn?,No. You may not play a development card purchased during the same turn. The only exception is a victory point card if it brings your total to 10 and wins you the game.,"No, you cannot play a development card that you bought during the same turn, except for a victory point card. According to [Almanac: DEVELOPMENT CARDS]... ""You may only play 1 development card during your turn... You may not, however, play a card that you bought during the same turn.""","Almanac: DEVELOPMENT CARDS | Game Rules: PLAYING DEVELOPMENT CARDS (Knight, Progress, Victory Point) | Almanac: PROGRESS CARDS",2,2,1.0,1.0,N/A,,
C07,correctness,,tfidf,What resources do you need to build a road?,Brick and Lumber,"To build a road, you need Brick and Lumber. This is stated in the section [Game Rules: BUILD (Roads, Settlements, Cities, Development Cards)] under the ""Road"" subsection.","Almanac: LONGEST ROAD | Game Rules: BUILD (Roads, Settlements, Cities, Development Cards) | Almanac: COAST",2,2,1.0,1.0,N/A,,
C08,correctness,,tfidf,What resources do you need to upgrade a settlement to a city?,3 Ore and 2 Grain,The rules don't specify this.,Almanac: CITIES | Almanac: DISTANCE RULE | Game Rules: TRADE (Domestic and Maritime),1,2,0.5,1.0,N/A,,
C09,correctness,,tfidf,What resources do you need to buy a development card?,"Ore, Wool, and Grain","To buy a development card, you need 1 Ore, 1 Wool, and 1 Grain. This is stated in the section [Game Rules: BUILD (Roads, Settlements, Cities, Development Cards)] under ""Buying a Development Card.""","Almanac: DEVELOPMENT CARDS | Game Rules: BUILD (Roads, Settlements, Cities, Development Cards) | Game Rules: TURN OVERVIEW",2,2,1.0,1.0,N/A,,
C10,correctness,,tfidf,How many victory points is a settlement worth?,1 victory point,"According to [Almanac: VICTORY POINTS], a settlement is worth 1 victory point.","Almanac: VICTORY POINTS | Almanac: ENDING THE GAME | Game Rules: BUILD (Roads, Settlements, Cities, Development Cards)",2,2,1.0,1.0,N/A,,
