id,category,sub_category,retriever,question,expected_answer,model_answer,retrieved_chunks,retrieval_hits,retrieval_expected,retrieval_coverage,precision_at_k,hallucination_check,correctness_score,notes
M01,correctness,,random,How much money does each player start with in Monopoly?,"$1,500 divided as follows: 2 each of $500s, $100s and $50s; 6 $20s; 5 each of $10s, $5s and $1s.",The rules don't specify this.,Monopoly: FREE PARKING | Monopoly: PAYING RENT | Monopoly: BANKRUPTCY,0,1,0.0,0.0,N/A,,
M02,correctness,,random,How much do you collect when you pass GO?,$200 salary paid by the Banker each time a player's token lands on or passes over GO.,The rules don't specify this.,Monopoly: THE BANK | Monopoly: BANKRUPTCY | Monopoly: INCOME TAX,0,1,0.0,0.0,N/A,,
M03,correctness,,random,What happens if you land on an unowned property and choose not to buy it?,"The Banker sells it at auction to the highest bidder. Any player, including the one who declined, may bid. Bidding may start at any price.","According to the rules, if you land on an unowned property and choose not to buy it, you must put the property up for auction. This is stated in the section regarding the Speed Die rules, specifically when using Mr. Monopoly: ""If you don't want to buy this property, move to the space anyway and put the property up for auction.""",Monopoly: SPEED DIE RULES | Monopoly: MISCELLANEOUS | Monopoly: HOUSES,0,1,0.0,0.0,N/A,,
M04,correctness,,random,How do you get out of jail in Monopoly?,"Four ways: (1) throw doubles on any of your next three turns, (2) use a Get Out of Jail Free card, (3) purchase a Get Out of Jail Free card from another player and play it, (4) pay a $50 fine before rolling on either of your next two turns.",The rules don't specify this.,Monopoly: OBJECT | Monopoly: SPEED DIE RULES | Monopoly: GO,0,1,0.0,0.0,N/A,,
M05,correctness,,random,What do you receive when you land on Free Parking?,"Nothing. A player landing on Free Parking does not receive any money, property, or reward of any kind. It is just a free resting place.",The rules don't specify this.,Monopoly: THE BANKER | Monopoly: THE BANK | Monopoly: SELLING PROPERTY,0,1,0.0,0.0,N/A,,
M06,correctness,,random,How many houses must be on each property in a color-group before you can build a hotel?,Four houses on each property of the complete color-group.,The rules don't specify this.,Monopoly: BUYING PROPERTY | Monopoly: OBJECT | Monopoly: MORTGAGES,0,1,0.0,0.0,N/A,,
M07,correctness,,random,Can you collect rent while you are in jail?,"Yes. Even though you are in jail, you may buy and sell property, buy and sell houses and hotels, and collect rents.",The rules don't specify this.,Monopoly: MORTGAGES | Monopoly: THE BANKER | Monopoly: PREPARATION,0,1,0.0,0.0,N/A,,
M08,correctness,,random,What are the two options for paying Income Tax?,"Pay a flat $200 to the Bank, or pay 10% of your total worth (all cash on hand, printed prices of mortgaged and unmortgaged properties, and cost price of all buildings). You must decide which option before adding up your total worth.",The rules don't specify this.,Monopoly: HOTELS | Monopoly: JAIL | Monopoly: HOUSES,0,1,0.0,0.0,N/A,,
M09,correctness,,random,How many consecutive doubles do you need to roll to be sent to jail?,Three times in succession.,The rules don't specify this.,Monopoly: HOUSES | Monopoly: HOTELS | Monopoly: INCOME TAX,0,2,0.0,0.0,N/A,,
M10,correctness,,random,Can you mortgage a property that has houses on it?,"No. Before an improved property can be mortgaged, all buildings on all properties of its color-group must be sold back to the Bank at half price.","No, you cannot mortgage a property that has houses on it. According to [Monopoly: MORTGAGES], before an improved property can be mortgaged, all the buildings on all the properties of its color-group must be sold back to the Bank at half price.",Monopoly: PREPARATION | Monopoly: MORTGAGES | Monopoly: HOUSES,1,1,1.0,1.0,N/A,,
M11,correctness,,random,How much do you get when you sell a house back to the Bank?,Half the price paid for it.,"According to [Monopoly: SELLING PROPERTY], houses may be sold back to the Bank at any time for one-half the price paid for them.",Monopoly: SELLING PROPERTY | Monopoly: THE BANK | Monopoly: PAYING RENT,1,1,1.0,1.0,N/A,,
