id,category,sub_category,question,expected_answer,model_answer,retrieved_chunks,retrieval_hits,retrieval_expected,retrieval_coverage,precision_at_k,hallucination_check,correctness_score,notes
M01,correctness,,How much money does each player start with in Monopoly?,"$1,500 divided as follows: 2 each of $500s, $100s and $50s; 6 $20s; 5 each of $10s, $5s and $1s.","Each player starts with $1,500 divided as follows: 2 each of $500s, $100s, and $50s; 6 $20s; and 5 each of $10s, $5s, and $1s. According to [Monopoly: PREPARATION]...",Monopoly: OVERVIEW | Monopoly: PREPARATION | Monopoly: SPEED DIE RULES,1,1,1.0,1.0,N/A,1,
M02,correctness,,How much do you collect when you pass GO?,$200 salary paid by the Banker each time a player's token lands on or passes over GO.,"According to [Monopoly: GO], each time a player's token lands on or passes over GO, the Banker pays him/her a $200 salary.",Monopoly: GO | Monopoly: PREPARATION | Monopoly: THE PLAY,1,1,1.0,1.0,N/A,1,
M03,correctness,,What happens if you land on an unowned property and choose not to buy it?,"The Banker sells it at auction to the highest bidder. Any player, including the one who declined, may bid. Bidding may start at any price.","If you land on an unowned property and choose not to buy it, the Banker sells it at auction to the highest bidder. Any player, including the one who declined the option to buy it at the printed price, may bid, and bidding may start at any price. According to [Monopoly: BUYING PROPERTY]...",Monopoly: BUYING PROPERTY | Monopoly: MORTGAGES | Monopoly: PAYING RENT,1,1,1.0,1.0,N/A,1,
M04,correctness,,How do you get out of jail in Monopoly?,"Four ways: (1) throw doubles on any of your next three turns, (2) use a Get Out of Jail Free card, (3) purchase a Get Out of Jail Free card from another player and play it, (4) pay a $50 fine before rolling on either of your next two turns.","You get out of Jail by...(1) throwing doubles on any of your next three turns; if you succeed in doing this you immediately move forward the number of spaces shown by your doubles throw; even though you had thrown doubles, you do not take another turn; (2) using the ""Get Out of Jail Free"" card if you have it; (3) purchasing the ""Get Out of Jail Free"" card from another player and playing it; (4) paying a fine of $50 before you roll the dice on either of your next two turns. If you do not throw doubles by your third turn, you must pay the $50 fine. You then get out of Jail and immediately move forward the number of spaces shown by your throw. According to [Monopoly: JAIL]...",Monopoly: JAIL | Monopoly: THE PLAY | Monopoly: OVERVIEW,1,1,1.0,1.0,N/A,1,
M05,correctness,,What do you receive when you land on Free Parking?,"Nothing. A player landing on Free Parking does not receive any money, property, or reward of any kind. It is just a free resting place.","According to [Monopoly: FREE PARKING], a player landing on this place does not receive any money, property or reward of any kind. This is just a ""free"" resting place.",Monopoly: FREE PARKING | Monopoly: JAIL | Monopoly: CHANCE AND COMMUNITY CHEST,1,1,1.0,1.0,N/A,1,
M06,correctness,,How many houses must be on each property in a color-group before you can build a hotel?,Four houses on each property of the complete color-group.,"According to [Monopoly: HOTELS], a player must have four houses on each property of a complete color-group before they may buy a hotel and erect it on any property of that color-group.",Monopoly: HOTELS | Monopoly: HOUSES | Monopoly: SELLING PROPERTY,1,1,1.0,1.0,N/A,1,
M07,correctness,,Can you collect rent while you are in jail?,"Yes. Even though you are in jail, you may buy and sell property, buy and sell houses and hotels, and collect rents.","Yes, you may collect rent while you are in Jail. According to [Monopoly: JAIL], ""even though you are in Jail, you may buy and sell property, buy and sell houses and hotels and collect rents.""",Monopoly: JAIL | Monopoly: PAYING RENT | Monopoly: CHANCE AND COMMUNITY CHEST,1,1,1.0,1.0,N/A,1,
M08,correctness,,What are the two options for paying Income Tax?,"Pay a flat $200 to the Bank, or pay 10% of your total worth (all cash on hand, printed prices of mortgaged and unmortgaged properties, and cost price of all buildings). You must decide which option before adding up your total worth.","According to [Monopoly: INCOME TAX], if you land on the Income Tax space, you have two options: you may estimate your tax at $200 and pay the Bank, or you may pay 10% of your total worth to the Bank.",Monopoly: INCOME TAX | Monopoly: SPEED DIE RULES | Monopoly: BANKRUPTCY,1,1,1.0,1.0,N/A,0.5,Missing 'decide before counting total worth' detail
M09,correctness,,How many consecutive doubles do you need to roll to be sent to jail?,Three times in succession.,"According to [Monopoly: JAIL], you need to throw doubles three times in succession to be sent to Jail.",Monopoly: JAIL | Monopoly: THE PLAY | Monopoly: CHANCE AND COMMUNITY CHEST,2,2,1.0,1.0,N/A,1,
M10,correctness,,Can you mortgage a property that has houses on it?,"No. Before an improved property can be mortgaged, all buildings on all properties of its color-group must be sold back to the Bank at half price.","No, you cannot mortgage a property that has houses on it. According to [Monopoly: MORTGAGES], ""Before an improved property can be mortgaged, all the buildings on all the properties of its color-group must be sold back to the Bank at half price.""",Monopoly: MORTGAGES | Monopoly: HOUSES | Monopoly: PAYING RENT,1,1,1.0,1.0,N/A,1,
